	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
Emb	0	0	0	0	0	0	0	0	0	-0.98146	0.4505	0	0	0	0	0	0	-0.79123	0.7728	0	0.45304	0	0	0	0	0	0	0	0	0.7326	0	0	0	0	0.96469	0	0	0	0	0	0	0	0	0	0	0
Emd	0	0	0	0	0.73316	0	0	0	0	0	0.57225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37172	0	0	0	0	0	0	0	0	0
Enpp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epas1	0	0	0	0	0	0	0	0	0	0	0.44947	0.92205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7792	0	0	0	0	0	0	0	0	0
Epb4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0.053443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eprs	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92431	0	0	0	0	0	0	0.39266	0	0.87956	0	0
Erbb2ip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	0	0	0	0	0	0.65935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47387	0.8337	0	0	0	0	0.9949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esyt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.69721	0
Etnk1	0	-0.77664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86261	0	0	0	0	0	0	0	0	0	0	0
Ezr	0	0.5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4191	0	0	0	0	0.87588	0	0	0	0	0	0	0	0	0	0.90975	0	-0.53724	0	0	0	0	0	0	0	0	0	0	0
Fam167a	0.74886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91865	0	0	0	0	0	0	0	0	0	0	0
Fam184b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52607	0	0	0	0	0	0	0	0	0	0	0.3242	0	0	0	0	0.88261	0	0	0	0	0	0	0	0	0	0	0
Fam189b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam46a	0	0	0	0	0	0	0.67778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007962	0	0	0	0	0	0	0	0	0
Fasl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19137	0	0	0	0	0	0	0	0	0	0	0	0	0
Fes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flnb	0	0	0	0	0	0	0	0	0	0	0	0.89367	0	0	0	0	0	-0.63936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12022	0	0	0	0	0	0	0	0	0	0
Fnbp1	0	0	0	0	0	0	0	0	-0.88654	0	0	0	0	0	0	0	0	0	0.44032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fos	0	0	0	0	0	0	0	0	0	0.95041	0	0	0	0	0	0	0	0.49397	0	0	0	0	0.62925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25486	0	0	0	0	0	0	0	0	0	0	0.73337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	0	0.25266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75436	0	0	0	0	0	0	0	-0.69389
Frmd6	0	0.48501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6505	0.66209	0	0	0	0	0	0	0	0	0	0	0	0.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fryl	0	0.22675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Furin	0	0	0	0	0	0	0	0	-0.96469	0.32297	0	0	0	0	0	0	0	0	0.6186	0	0	0	0	0	0	0	0	0	0.9027	0.97325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gab3	0	0.93027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11027	0	0	0	0	0	0	0	0	0	0	0
Galnt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gch1	0	0	0	0	0	0.7235	0	0	0	0	0	0	0	0	0.026145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcnt2	0	0.82194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64166	0	0	0	-0.9634	0	0	0
Gimap6	0	0	0	0	0	0	0.7711	0	0	0	0	0	0	0	-0.20072	0	0	0	0	0	0	0	0.060128	0	0	0	0	0	0	0	0	0	0.9634	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap7	0	0	0	0	0	0	0.85888	0	0	0	0	0	-0.1857	0	-0.1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88218	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28084	0	0	0	0	0	0	0
Gjb2	0	0.97853	0.51465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96737	0	0	0	0	0	0	0	0	0	0	0
Gls2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22392	0	0.05469	0	0	0	0	0	0	0	0	0
Gm16702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	-0.20072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gna13	0	0	0	0	0.88724	0	0	0	0	0	0	0	0	0	0.61656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnpda2	0	0.9914	0	0	0	0	0	0	-0.024213	0	0	0	0	0	0	0	0	0	-0.40285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr132	0	0	0.74464	0	0	0.20199	0	0	0	0	0.4717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0.90835	0	0	0	0	0	0	0	0	0	0	0
Grcc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstcd	0	-0.53272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54163	0	0	0	0	0	0	0	0	0	0	0	0.83694	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99846	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmc	0	0.8493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3838	0	0	0	0	0	0.53535	0	0	0	0	0
Hccs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0	0	0	0.45678	0	0
Hgsnat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hivep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71505	0	0	0	0	0	0	0	0	0	0	0.097227	0.24797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729	0	0	0
Hk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmces	0	0	0	0	0.17518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82194	0	0	0	0	0	0	0	0.8595	0	0	0	0	0	0	0	0	0	0	0	0	0
Hpgds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1a	0	0.25382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15028	0	0	-0.25347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1b	0	0.61745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61106	0	0.43735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hvcn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042692	0	0	0	0	0	0
Icam1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifngr1	0	0.89961	0	0	0	0	0	0	0	0	0	0	0.90975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf3	0	-0.38817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37602	0	0
Il17a	0	0	0	0	0	0	0	0	0.87007	-0.42005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.022951	0	0	0	-0.14758	0	0	0	0	0	0	0
Il17f	0	0.33091	0	0	0	0	0	0	0	0	0.37172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14489	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	0	0
Il2ra	0	-0.6959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0	0.11309	0	0	0	0	0.098239	0	0	0	0.97546	0	0	0	0	0	0	0
Il2rb	0	0	0	0	0	0	0	0	0	0	0	0	0.78792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il4ra	0	0.8595	0	0	0	0	0	0	0.50506	0	0	0	0.013509	0	0	0	0	0	0	0	0	0	-0.40419	0	0	0	0	0	0	0	0	0	0	0	-0.40681	0	0	0	0	0	0	0	0	0	0	0
Il7r	0	0	0	0	0	0	0	0	0	0	0	0.84157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29966	0	0.90354	0	0	0	0.99892	0	0	0	0	0	0	0	0	0	0	0
Ip6k1	0	0	0	0	0	0	0	0.61912	0	0	0	0.6132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipcef1	0	0.26483	0	0	0	0	-0.45793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	-0.37021	0	0	0	0	0	0	0
Irak2	0	-0.15545	0	0	0	0	0	0	0	0	0	0.37549	0	0	0	0	0	0.57019	0	0	0	0	0	0	0	0.095918	0	0	0	0	0	0	0	0	0	0	0	0	0.86396	0	0	0	0	0	0	0
Irf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itga4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.62398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgav	0	0	0	0	0	0	0	0	0.78244	0	0	0	0	0	0	0	0	0	0.80175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb2	0	0	0	0	0	0	-0.83062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.98724	0	0	0	0	0	0	0	0	0	0	0
Itgb3	0	0	0	0	0	0	0.84523	0	0	0	0	0	0	0	0	0	0	-0.69316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65986	0	0	0	0	0	0	0	0	0	0	0
Itk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90416	0	0	0	0.97217	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpkb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5967	0	0	0	0	0	0	0	0	0	0	0
Jmy	0	0	0	0	0	0.26653	0	0	0	-0.45087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42918	0	0	0	0
Josd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jun	0	0	0	0	0	0	0	0	0.94522	0	0	0	0	0	0	0	0.12214	0	0.1112	0.99243	0	0	0	0.68691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jund	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99952	0	0	0	0	0.40818	0.93306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd12	0	0	0.22057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96737	0	0	0.63618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm2b	0	0	0	0	0	0.61985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27652	0	0	0	0.93183	0	0	0	0	0	0	0	0	0	0	0.71945	0	0	0	0	0	0	0	0
Kdm6b	0	0	0	0	0	0.99586	0	0	0	0	0	0	0	0	0.57982	0	0	0	0	0	0.55816	0	0	0	0	0	0	0	0	0.7308	0	0	0	0	0	0	0.93565	0	0	0	0	0	0	0	0	0
Kif13a	0	-0.57982	0	0	0	0	0	0	0	0	0	0.5967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81033	0	0	0	0.96737	0	0	0	0	0	0	0	0	0	0	0
Kit	0	0.097227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94246	0	0	0	0	0	0	0	0	0	0	0
Klf13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54721	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.041025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88581	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43116	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45623	0	0.8753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl6	0	0	0	0	0	0	0	0	0	0	0	-0.16151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1b	0	0.98563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1c	0	0	0	0	0	0	-0.84849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84247	0	0	0	0.84883	0	-0.49684	0	0	0	0	0	0	0	0	0	0	0
Klrk1	0	0	0	0	0	0	0	0	0	0	0	-0.98035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna1	0	0	0	0	0.084138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98249	0	0	0	0	0	0	0	0	0	0	0	0.92315	0	0	0	0	0	0	0	0	0
Krt18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc1	0	0	0	0	0	0	0	0	0	0	0	0.87075	0	0	0	0	0	-0.56549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53334	0	0	0	0	0	0	0	0	0	0	0
Laptm4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Large	0	0	0	0	0	0	0	0	0	0	0	0.89662	0	0	0	0	0	0	-0.60305	0	0	0	0	0	0	0	0	0	0	0	0.47967	0	0	0	0.80531	0.54765	0	0	0	0	0	0	0	0	0	0
Lats2	0	0.83987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd3	0	0	0	0	0	0	0	0	0	0	0	0	0.23755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88679	0	0	0	0	0	0	0	0	0	0.99084	0	0	0
Litaf	0	0	0	0	0.62484	0	0	0	-0.60444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8735	0	0	0	0	0	0	0	0	0	0	0	0	0
Lonrf3	0	0	0	0	0	0	0	0	0	0	0	0.6076	0	0.69115	0	0	0	0	0.94899	0	0	0	0	0	0	0	0	0	0	0	0.72639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
